S.No.,Company,Job ID,Function,Location,Title,Description,Posted On
105,SBI,16875,"Customer Services, T1 Service",Chennai,Associate,"""
Would be part of the customer services team handling Inbound calls / outbound from Credit Card holders. Needs to ensure all Customer Services Complaints & Queries are resolved as per the TAT defined. Responsible for achieving the call center targets on a daily basis like AHT, Productivity, Cross sell, retention, First call resolution along with ensuring high quality of service with zero unscheduled leaves/ absenteeism. Would be required to contribute to cross sell targets through inbound as well as outbound channels. Job requires Compliant to Business Policy, processes and procedures. Need to take additional responsibilities & identify process gaps on process improvement and better customer experience

Must have Qualification- Graduation from recognized University & Proficiency in Spoken Malayalam""",10/01/2024
106,SBI,16734,"Area Sales, POS & CBSF",Bangalore,Manager,Manager - Area Sales,09/30/2024
107,SBI,17683,"Retention & Activation, Sales Servicing-Non Voice",Chennai,Executive,"Resolving complaints / escalations received through different channels – Sales id, Sbi Branches and Co Brand Partners through calls and emails. Responsible for providing best possible solution to end pending customer Issues and ensure wing to wing closure.",09/30/2024
108,SBI,16479,"Area Sales, POS & CBSF",Bangalore,Manager,Manager - Area Sales ( POS & CBSF ),09/27/2024
109,SBI,15742,"Area Sales, POS & CBSF",Bangalore,Manager,"-To generate credit card business through Point of Sale/FOS Channel in open market.
-Achieve New Account Volume for the location – Overall, surrogate wise
-NFTE Management - Hiring, Training & Grooming of NFTE’s.
-Identify & execute on strategies to achieve planned targets
-Identify business opportunities’ in Open Market Retail & Point of Sale and build consensus within sales team to execute on them.",09/26/2024
110,SBI,17669,"TeleSales, Insurance & cross-sell",Bangalore,Senior Manager,"Deliver on planned tele-marketing sales volume & conversion for identified Insurance & Cross-sell products which currently includes Insurance, Card Protection Plan, Upgrade, Cross-sell, Credit Line Increase, Easy Bill Pay, Add-on Cards, Multi Carding etc. Budgeting, planning & forecasting for complete process.",09/26/2024
111,SBI,17661,"Area Sales, POS & CBSF",Lucknow,Deputy Manager,Required ASM for Kanpur location with 3-5 Years of relevant Experience,09/23/2024
112,SBI,17662,"Area Sales, POS & CBSF",Kolkata,Deputy Manager,"Area Sales Manager (ASM) in Open Market Channel is responsible for sales of various SBI Card products in an assigned geography under one of the specified channels , through a large team of 100-200 NFTEs spread across geography, agents in call center. The team comprises Relationship Executives (RE), Tele Sales Agents,  Relationship Managers (RMs/TLs), Unit Managers and Back end team. This role of an ASM has the most enriched JD for any front line sales manager profile in the industry, owing to the scale of operations and comprehensiveness, as supported by the role description mentioned below.",09/23/2024
113,SBI,17559,Area Training,Patna,Assistant Manager,"Qualifications:- Graduates/MBA from a recognized and renowned university
Position- Area Training Manager
Preference- Male/ Female
Experience- 7-8 Years",09/19/2024
114,SBI,17631,Testing & Monitoring,Gurugram,Manager,Testing and Monitoring of Credit Risk & Collection policies for system implementation.,09/19/2024
115,SBI,17656,"Contact Center, Social Media",Gurugram,Senior Executive,"Senior Executive - Contact Center, Social Media",09/19/2024
116,SBI,17618,Digital Product,Gurugram,Deputy Vice President,"As a Digital Products Leader, person needs to strategize and develop product suite map for Digital Products for SBI Card. As a thought leader, person should be able to identify the key digital transformation initiatives at an organization level & translate the same in projects and drive execution in an Agile manner and adoption at an organisation level. As a key initiative, this person will focus on transforming the credit card digital acquisition strategy to drive the conversion of organic traffic into an instant new card issuance with end-to-end digital process",09/13/2024
117,SBI,17593,City Fulfillment,Chennai,Assistant Manager,"Responsible for fulfilment of credit card applications (KYC, surrogate document collection & MID completion) across all open market retail sales channels with accuracy, within TAT & within the budgeted cost, via managing a team of contracted staff.",09/11/2024
118,SBI,17594,AI Project Management (IT),Gurugram,Assistant Vice President,Project Management for Conversational AI platforms/Apps,09/11/2024
119,SBI,17576,"Customer Services, Non-T1 Service",Chennai,Executive,"""
Would be part of the customer services team handling Inbound calls / outbound from Credit Card holders. Needs to ensure all Customer Services Complaints & Queries are resolved as per the TAT defined. Responsible for achieving the call center targets on a daily basis like AHT, Productivity, Cross sell, retention, First call resolution along with ensuring high quality of service with zero unscheduled leaves/ absenteeism. Would be required to contribute to cross sell targets through inbound as well as outbound channels. Job requires Compliant to Business Policy, processes and procedures. Need to take additional responsibilities & identify process gaps on process improvement and better customer experience

Must have Qualification- Previous experience  of minimum 1.5 + years in a customer handling process (voice process), Graduation from recognized University & Proficiency in Spoken Telugu""",09/10/2024
120,SBI,17571,"Agency management, Collection Field South",Secunderabad,Deputy Manager,Agency Collection Manager,09/06/2024
121,SBI,17536,CCRP Validation,Gurugram,Manager,"Key Responsibilities :
•	Continuously review the ad refine the customer complaint validation process to ensure 100% accuracy ,customer satisfaction and efficiency
•	Stay up to date with regulatory requirements and ensure that customer validation process comply with relevant regulatory guidelines
•	Drive team productivity 
•	Ensure all customers complaints are validated as per defined SOPS
•	Auditing the customer validation remark
•	Ensure proper and timely resolutions are provided to customers
•	Manage regulatory reporting for CVT complaint as per RBI guidelines
•	Conducting RCA for increasing internal complaints 
•	Month end Reporting on internal complaints 
•	Managing SIC 
•	Provide insights and recommendation to leadership team on customer validation data trend 
Requirements:
•	Process knowledge and detailed card one knowledge is must.
•	Collaborative mindset
•	Experience in team management",09/04/2024
122,SBI,17552,"Area Sales, POS & CBSF",Bangalore,Manager,Hiring for Area sales Manager,09/04/2024
123,SBI,15849,Database Management,Gurugram,Senior Manager,Knowledge of SQL & Oracle Databases and query languages along with E2E Project Management.,08/26/2024
124,SBI,17500,Area Sales,Chennai,Manager,"ASM- Banca Channel Responsible to drive sales of credit cards through State Bank group branches. - Drive Productivity, manage costs of acquisition. - Ensure compliant sourcing processes Build and nurture relationships with the branch managers, key employees and the Regional Managers",08/23/2024
